1,"Is it true that the lead singer for Hinder only records while he is on the toilet constipated? His voice sounds so. The way he sings ""Lips of an Angel"" makes me want to punch him in the face! I'd rather pick dried semen out of my pubic hair over listening to this group. I seriously almost tripped and fell at work trying to get to the radio and change the station before I heard the chorus! "
5,"This music so so wonderful.  It is very high energy and fun.  The kids don't really care that this a ""jazz"" album- what they do know is that they love the music and it makes them feel happy.  Don't waste your money and insult your kids intelligence and your ears with the what sells as ""kids"" music, get them something you can both enjoy.  Our favorites are the ""Doodle"" song and ""Potato Chips.""  Worth every penny and then some"
5,This is one of the best kid CDs I've heard.  The songs are all catchy and fun to listen to.  It's a great intro to jazz
5,"This was They Might Be Giants first major label album.  It continued, and expanded upon, the sound they had established on their independant label albums.  It's probably TMBG's most popular album.  It features many classic TMBG songs, like ""Birdhouse in Your Soul"", ""Istanbul"" and ""Particle Man"".  It's chock full of the catchy melodies and silly lyrics that we have come to expect from the Johns.  A must have for all They Might Be Giants fans"
5,Our 22 mo. old loves this music much more than the kiddy tunes that mom and dad can hardly bear to listen to.
5,"Hot Hot Heat's Make up the Breakdown is a follow-up of Knock Knock Knock. Personally, if you're a big Hot Hot Heat fan, this will be one of your most favorite albums. Each and every song is unique and has catchy beats that will make you want to dance. The first song Naked in the City Again is great.  The second song, No, Not Now, is a popular tune that you can't help but start movin'. Get in or Get out has some of the most rad keyboarding parts. Bandages, one of the biggest hits on the album is sort of what boosted Hot Hot Heat's career and just this one song will make the album worth purchasing. Oh Goddamnit is such an amazing song, with very fun lyrics so you're bound to sing along. The next song Aveda keeps many of us wondering: Ex-Girlfriend or Hair Product? Either way you'll like you'll still enjoy this song. This Town, many believe was written about some crazy fans, you listen and decide for yourself. Talk to Me, Dance with Me was also a very big hit that got fans into Hot Hot Heat. This song makes me dance, sing, and every other thing you can do to your favorite song. On Save us S.O.S. you will love how deep the lead singer, Steve Bays' voice sounds, your heart will melt. Although very different from Hot Hot Heat's normal songs, In Cairo, is also a great song and adds a fabulous ending to Make up the Breakdown. This cd will be in your stereo for hours on end. The songs are addicting so this album is definately worth it's money. "
5,"Wonderful harmony, great voices, beautiful music.  This group deserves to be better known and to be hugely successful"
1,"The first time I heard about Antony and the Johnsons was from a friend of mine that told me about Rufus Wainwright and was listening to a new artist that was quite incredible.  I decided to do some investigating about this Antony at a local Barnes & Noble and what I discovered was very, very dissapointing.  I find the music to be well written instrumentally and layered quite well, but Antony's voice is very over the top and fake.  By fake, I mean his use of vibrato, which is very rapid and used in a way that comes out as forced and sheeplike (not natural).  Professional voice instructors teach that the correct way to use vibrato is at the right speed: five to six vibrations per second.  It is evident that Antony's ""trained"" sounding voice is not trained at all in this realm.  Another thing about this band and record that I find very horrible is the lyrics to the songs.  The artist seems confused or regretful of his own gender using a sorrowful and painful delivery of these wailings.  The lyrics hold no attraction or relation to the listening, which lends the listener to a pitiful and almost annoying view of the music itself because of this.  My conclusion is that this is a terrible record and the singer needs to pursue professional voice lessons... and help"
5,"St. Elsewhere combines the energy of club beats with the soulful [and at times wistful] voice of Cee-Low and thought-provoking lyrics. I enjoy the variety of styles [from the frentic ""Go-Go Gospel"" to the introspective ""Just a Thought""]. A must-have purchase"
2,"the music can be explained and defined pretty much as the title itself just think of ""classic"". I assumed the music was going to be very club material that has a history of songs being played after the years by clubs.. a large portion of the cd i cannot see it as a gothic ""club"" material esspecially throwing in some type-o.. i been through alot of clubs and i cannot find a way to hit that song in the dance floor.. if not i guess i have been in the wrong places.. it looks to me they ran out of ideas and threw in some mainstream that everyone listens to so they would  i was very dissapointed in the whole cd. listened to a few songs here and there, if you are into the old stuff then this is the stuff for you.. i really dont recomend this cd to any collection besides you want to be blasted in the past."
4,"Having left my Gothic Club mix CD at home, I decided to buy this one. What hooked me first was the live recording of ""Bela Lugosi's Dead"" by Bauhaus, which is classic Goth music. Some of the bands I liked, some I didn't, but all in all this is a great CD. My favorite is ""Sheryl"" on the second CD. This is a great CD for chilling, dancing, or showing the uneducated masses what Goth music really is"
2,"Tony Yayo's ""Thoughts of a Predicate Felon"" suffers from the fact that Tony Yayo simply doesn't know who he is (or who he is supposed to be) on this album. Before I listened to this album, I expected to hear gritty, descriptive rhymes about Yayo's criminal life. Unfortunately however, I, like many of you, tuned into tracks such as ""Tattle Teller,"" ""Curious,"" and ""Project Princess."" For an ex-convict, that is not the type of message you want to project to an audience that is expecting something more... hardcore; something better. On tracks such as ""Live By The Gun"" and ""Homicide,"" Yayo delivers my aforementioned desire for ""harder"" lyrics, but tracks such as these are few and far between. Hopefully Tony Yayo can focus on doing this for his next album but for now, this debut album is simply a dissapointment"
1,"I think this album is boring. I think it doesnt do its job. I think Lil Jon is a wannabe. I think they needs to get a real job. I think this broke very soon after i got it. I think this won't play in most cd players. i think the cover looks stupid. i think it gave me the idea to scream YEAH! and WHAT! at my brothers wake. i think art is stupid. I think i don't recommend this. I think ive said enough. I think im going to hell now. I think i was anyway, cause i think i sold my soul"
4,"This album is a masterpiece by a legend who, at 65 years old, topped the charts. Dylan is an extroadinary talent and seems to get even better with age. Every song is exceptional and showcases his great talent and songwriting ability"
5,"I first heard this song last summer while I was painting our house. Out in the fresh air and the sun (and recently wed), this song immediately caught my attention and only seemed to get more irrestible with every listen. While it's what I guess I would call somewhat of a ""rock"" song (during the chorus),  it's Alex Band's vocals that conveys the longing, passionate love element of the song. He manages to keep it romantic and unique instead of just making it a another decent rock song. I've also heard Chad's version from the album; while Chad's vocals are actually not *that* much different from Alex's (both manage to be very masculine and strong), I feel that the version with Chad is a ""good"" song while Alex's delivery makes it a ""great"" song. While Chad's voice is great for other songs, for this type of song it is overly domineering and angry-sounding. From a woman's perspective, Alex's way would manage to convince me to ""get together"" while Chad's would scare me off! Sometimes, one vocalist is just ""meant"" to sing a song and either make it or break it. Think of ""Smooth"" from 1999. Rob Thomas' delivery helped to make that song the hit it was. In this case, Alex is the perfect man for the job."
5,"An outstanding set of kid's music with folk scene stalwarts such as Arlo Guthrie, Taj Mahal and Tim O'Brien joined by bluegrassers Tim O'Brien and Rhonda Vincent and blues pickers Keb Mo, Guy Davis and Eric Bibb, as well as Americana-country types such as Rosie Flores... An impressive lineup, sure, but better still is the calibre of songwriting, and the actual kid friendliness of it all.  This is a really fun album!  Fun, as in, little kids might actually like it, and might even sing along if you played it for them.  Plenty of silly songs like ""Bling-Blang,"" ""Bananaphone"" and ""Bellybutton Song.""  Some songs are perky, like ""Red, Red Robin""; others are instructive, like ""Man Named All The Animals,"" and others still model assertiveness and communication skills, like Taj Mahal's excellent ""Don't You Push Me Down,"" in which various kids stick up for themselves in unpleasant situations.  I like this album a lot, and plan to play it for my kid for years to come"
5,"You are great on this one Danielle, I love and miss you so much. I wish it was 1982 and you were still on Archie Bunkers Place. You poor thing, I'll be your main reviewer from now on. Why are you hiding that great voice and acting talent in New York. I would love to put you to work for Mirror Vision Inc. Records in Morro Bay CA. I plan to see you in concert soon and hope you are having a good fall. I think of you often and always mention your bright star to other people, I wish I could think of you more, you have never met me, and I know we have become distant, but you are still the mystery of my life, say hello to your dad and mom for me, and I miss you from Morro Bay CAlifornia,(i love you babe) love garr"
5,"In 1975, Joe Jackson was tired of Motown Records controlling his childrens' careers. So he moved them over to Epic Records. The newly Christened ""Jacksons"" had to prove themselves to not only CBS Records, but to the world that they could produce, write, and perform their own records with plausible credibility.So instead of being controlled by Henry Cosby, Hal Davis, and to a lesser extent, Berry Gordy at Motown, their direction was handed over by Epic to Philidelphia Phunk-Meisters Kenneth Gamble, and Leon Huff. They had a tremendous string of success, with Teddy Pendergrass, MFSB, Harold Melvin, and The Blue Notes, and McFadden and Whitehead to name just a few.  They took the Jacksons' original songs, brought them into the studio, worked their Philly majik, and out came one of the greatest Soul records ever cut on wax. From Start to finish, ""The Jacksons"" takes you from one Phunkified Phunk Phest top the next, starting with ""Enjoy Yourself"" and Culminating in the Phunkadelic ""Style Of Life"". When I was a child I heard this record, and originally thought that ""Good Times"" was the Jackson's remake of the theme from that TV show. But it was pure slow Phunk. Phunk-da-fied-, Phunkalicious, or just just plain Phantastic, The Jackson's Epic Debut is Phat"
5,"I am 68 and a long time Stewart fan, this is one of his best.  Don't know what the problem is with the other reviewers"
